	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq3351	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	thermoresistibile
seq3352	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium	
seq3353	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq3354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq3355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13	
seq3356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
seq3357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq3358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
seq3359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
seq3360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
seq3361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae		
seq3362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae		
seq3363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae		
seq3364	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq3365	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae		
seq3366	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_15	cochlearium
seq3367	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Nosocomiicoccus	
seq3368	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3369	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium	
seq3370	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pusillimonas	
seq3371	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	Eukaryota						
seq3372	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
seq3373	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq3374	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq3375	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter	
seq3376	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Verticia	
seq3377	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	Eukaryota						
seq3378	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	Eukaryota						
seq3379	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	
seq3380	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	Eukaryota						
seq3381	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae		
seq3382	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	bacteriovorus
seq3383	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq3384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	Eukaryota						
seq3385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Tuberibacillus	
seq3386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq3387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae		
seq3388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geomicrobium	
seq3389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
seq3390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq3391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq3392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		
seq3393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq3394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	rectivirgula
seq3395	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	
seq3396	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	
seq3397	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	
seq3398	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tepidimicrobium	
seq3399	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae		
seq3400	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	
seq3401	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
seq3402	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3403	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Thermocrispum	municipale
seq3404	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq3405	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pigmentiphaga	daeguensis
seq3406	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq3407	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_18	
seq3408	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
seq3409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	Eukaryota						
seq3410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIV		
seq3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	Vulgatibacter	
seq3412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0							
seq3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	Bacteria	Firmicutes					
seq3414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq3415	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	acidocaldarius
seq3416	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Desemzia	incerta
seq3417	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	thermoresistibile
seq3418	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq3419	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia				
seq3420	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	
seq3421	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq3422	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Jeotgalibaca	
seq3423	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq3424	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
seq3425	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	
seq3426	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	
seq3427	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae		
seq3428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	Eukaryota						
seq3429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	
seq3430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	
seq3431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	
seq3432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
seq3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	radioresistens
seq3434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	Bacteria	Firmicutes	Bacilli				
seq3435	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	
seq3436	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
seq3437	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
seq3438	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
seq3439	0	0	0	0	0	0	40	0	0	6	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Ignatzschineria	
seq3440	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq3441	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq3442	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
seq3443	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor	
seq3444	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae		
seq3445	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	Bacteria						
seq3446	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	contaminans
seq3447	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq3448	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722		
seq3449	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq3450	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae		
seq3451	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	Bacteria	Chloroflexi	OLB14				
seq3452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	agilis
seq3453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitalea	
seq3454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	
seq3455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
seq3456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		
seq3457	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
seq3458	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq3459	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3460	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
seq3461	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3462	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae		
seq3463	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
seq3464	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae		
seq3465	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3466	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae		
seq3467	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae		
seq3468	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq3469	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas	
seq3470	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
seq3471	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq3472	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteriia	Subgroup_2			
seq3473	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13	
seq3474	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	Eukaryota						
seq3475	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq3476	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq3477	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans	
seq3478	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Humibacter	
seq3479	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
seq3480	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq3482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
seq3483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq3484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
seq3485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
seq3486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	Bacteria	Actinobacteria	Actinobacteria				
seq3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
seq3488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
seq3489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
seq3490	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq3491	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans	
seq3492	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq3493	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq3494	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	
seq3495	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	
seq3496	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq3497	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	thermoresistibile
seq3498	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq3499	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722		
seq3500	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae		
seq3501	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	
seq3502	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae		
seq3503	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	
seq3504	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq3505	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Membranicola	
seq3506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	
seq3507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq3508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq3509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Eukaryota						
seq3510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae		
seq3511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Firmicutes					
seq3512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Antricoccus	
seq3513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae		
seq3514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722		
seq3515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
seq3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	Bacteria	Firmicutes	Bacilli				
seq3517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
seq3518	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq3519	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Savagea	faecisuis
seq3520	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq3521	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq3522	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
