	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1542	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	
seq1543	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia				
seq1544	0	0	0	0	0	0	0	200	0	0	0	0	0	0	56	0	0	Eukaryota						
seq1545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paenalcaligenes	hermetiae
seq1546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq1547	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI		
seq1548	0	93	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	keratinilytica
seq1549	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq1550	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	coagulans
seq1552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	
seq1553	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq1554	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq1555	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	
seq1556	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1557	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1558	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	Eukaryota						
seq1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tepidimicrobium	
seq1560	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	
seq1561	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	Eukaryota						
seq1562	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq1563	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	
seq1564	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	
seq1565	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	Eukaryota						
seq1566	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		
seq1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	pichinotyi
seq1568	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1569	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	
seq1570	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans	
seq1571	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	
seq1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	Eukaryota						
